Size,Density,Iteration,Time_ns
160,1.0,13,4551296
160,1.0,14,4543458
160,1.0,15,4523305
160,1.0,16,4557597
160,1.0,17,4529371
160,1.0,18,4516196
160,1.0,19,4561345
160,1.0,20,4539028
180,0.1,1,6047559
180,0.1,2,6011001
180,0.1,3,6147082
180,0.1,4,5970077
180,0.1,5,6091657
180,0.1,6,6000530
180,0.1,7,5975965
180,0.1,8,6080331
180,0.1,9,6414445
180,0.1,10,6196220
180,0.1,11,6142226
180,0.1,12,6056805
180,0.1,13,6092752
180,0.1,14,6092746
180,0.1,15,6047639
180,0.1,16,5897802
180,0.1,17,5985304
180,0.1,18,6205176
180,0.1,19,6062938
180,0.1,20,5997092
180,0.2,1,6509626
180,0.2,2,6512541
180,0.2,3,6382513
180,0.2,4,6501431
180,0.2,5,6463582
180,0.2,6,6494299
180,0.2,7,6408982
180,0.2,8,6416330
180,0.2,9,6463905
180,0.2,10,6520204
180,0.2,11,6612247
180,0.2,12,6508558
180,0.2,13,6522073
180,0.2,14,6427675
180,0.2,15,6418047
180,0.2,16,6446152
180,0.2,17,6612201
180,0.2,18,6576477
180,0.2,19,6513572
180,0.2,20,6359310
180,0.4,1,6633646
180,0.4,2,6615189
180,0.4,3,6583685
180,0.4,4,6771751
180,0.4,5,6982197
180,0.4,6,6545929
180,0.4,7,6571172
180,0.4,8,6547875
180,0.4,9,6773789
180,0.4,10,6592091
180,0.4,11,6446582
180,0.4,12,6475864
180,0.4,13,6670067
180,0.4,14,6528713
180,0.4,15,6720698
180,0.4,16,6572088
180,0.4,17,6821300
180,0.4,18,6695745
180,0.4,19,6591291
180,0.4,20,6651986
180,0.6,1,6684209
180,0.6,2,6568436
180,0.6,3,6550773
180,0.6,4,6549134
180,0.6,5,6767347
180,0.6,6,6530465
180,0.6,7,6534310
180,0.6,8,6457118
180,0.6,9,6765322
180,0.6,10,6593387
180,0.6,11,6487129
180,0.6,12,6681891
180,0.6,13,6813858
180,0.6,14,6579549
180,0.6,15,6566712
180,0.6,16,6552046
180,0.6,17,6636728
180,0.6,18,7229304
180,0.6,19,7278253
180,0.6,20,6671728
180,0.8,1,6786701
180,0.8,2,6585913
180,0.8,3,6453708
180,0.8,4,6489009
180,0.8,5,6749001
180,0.8,6,6565162
180,0.8,7,6484656
180,0.8,8,6484933
180,0.8,9,6682414
180,0.8,10,6552854
180,0.8,11,6558292
180,0.8,12,6574830
180,0.8,13,6680608
180,0.8,14,6524139
180,0.8,15,6584569
180,0.8,16,6580720
180,0.8,17,6607037
180,0.8,18,6337734
180,0.8,19,6363644
180,0.8,20,6362603
180,1.0,1,6483038
180,1.0,2,6304822
180,1.0,3,6304515
180,1.0,4,6276303
180,1.0,5,6413674
180,1.0,6,6260011
180,1.0,7,6272599
180,1.0,8,6286358
180,1.0,9,6430396
180,1.0,10,6277453
180,1.0,11,6536012
180,1.0,12,6327816
180,1.0,13,6403461
180,1.0,14,6256757
180,1.0,15,6262812
180,1.0,16,6287259
180,1.0,17,6404703
180,1.0,18,6274561
180,1.0,19,6270315
180,1.0,20,6285633
200,0.1,1,8193978
200,0.1,2,8150390
200,0.1,3,7925983
200,0.1,4,8165751
200,0.1,5,8103867
200,0.1,6,7987597
200,0.1,7,8288267
200,0.1,8,8582894
200,0.1,9,8191347
200,0.1,10,8143873
200,0.1,11,8067643
200,0.1,12,8349461
200,0.1,13,8079314
200,0.1,14,8044444
200,0.1,15,8120795
200,0.1,16,8262015
200,0.1,17,8249111
200,0.1,18,8017222
200,0.1,19,8053782
200,0.1,20,8230444
200,0.2,1,9039935
200,0.2,2,8593703
200,0.2,3,8685748
200,0.2,4,8575778
200,0.2,5,8628459
200,0.2,6,8645322
200,0.2,7,8571161
200,0.2,8,8572551
200,0.2,9,8726684
200,0.2,10,8766602
200,0.2,11,8555272
200,0.2,12,8618512
200,0.2,13,8747664
200,0.2,14,8752104
200,0.2,15,8708587
200,0.2,16,8784951
200,0.2,17,8649201
200,0.2,18,8721215
200,0.2,19,8495641
200,0.2,20,8728134
200,0.4,1,8838089
200,0.4,2,8824029
200,0.4,3,8786663
200,0.4,4,8800786
200,0.4,5,8847082
200,0.4,6,8873914
200,0.4,7,8847386
200,0.4,8,8665203
200,0.4,9,8934679
200,0.4,10,8675142
200,0.4,11,8894740
200,0.4,12,8871250
200,0.4,13,8768242
200,0.4,14,8785494
200,0.4,15,8790244
200,0.4,16,8830237
200,0.4,17,8852096
200,0.4,18,8736115
200,0.4,19,8740034
200,0.4,20,8791178
200,0.6,1,8660747
200,0.6,2,8908281
200,0.6,3,8700430
200,0.6,4,8682115
200,0.6,5,8802767
200,0.6,6,8747349
200,0.6,7,8687614
200,0.6,8,8748544
200,0.6,9,8710060
200,0.6,10,8706818
200,0.6,11,8718664
200,0.6,12,10213754
200,0.6,13,8723465
200,0.6,14,8802982
200,0.6,15,8807607
200,0.6,16,8666236
200,0.6,17,8682960
200,0.6,18,8710745
200,0.6,19,8783564
200,0.6,20,8743910
200,0.8,1,8530251
200,0.8,2,8490663
200,0.8,3,8504441
200,0.8,4,8563319
200,0.8,5,8537855
200,0.8,6,8504041
200,0.8,7,8544957
200,0.8,8,8518969
200,0.8,9,8482576
200,0.8,10,8621037
200,0.8,11,8545866
200,0.8,12,8537270
200,0.8,13,8545830
200,0.8,14,8542436
200,0.8,15,8513558
200,0.8,16,8512704
200,0.8,17,8558517
200,0.8,18,8547404
200,0.8,19,8536838
200,0.8,20,8559447
200,1.0,1,8424391
200,1.0,2,8375676
200,1.0,3,8345295
200,1.0,4,8460647
200,1.0,5,8418559
200,1.0,6,8478170
200,1.0,7,8390975
200,1.0,8,8435542
200,1.0,9,8444432
200,1.0,10,8443491
200,1.0,11,8433387
200,1.0,12,8459681
200,1.0,13,8441972
200,1.0,14,8486788
200,1.0,15,8451648
200,1.0,16,8486939
200,1.0,17,8459855
200,1.0,18,8448181
200,1.0,19,8446683
